t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
0.0,100000000000.0,0.0,0.0,0.0,30000.0,0.0,-877172568.7866354,ok
10.0,99999999999.33643,299999.99999933643,0.0,-0.13271483282079705,29999.99999980092,0.0,-877172568.7866356,ok
20.0,99999999997.3457,599999.9999946912,0.0,-0.2654296656415337,29999.99999920368,0.0,-877172568.7866352,ok
30.0,99999999994.02783,899999.9999820828,0.0,-0.39814449846214955,29999.99999820828,0.0,-877172568.7866354,ok
40.0,99999999989.38281,1199999.9999575296,0.0,-0.5308593312825842,29999.999996814724,0.0,-877172568.7866356,ok
50.0,99999999983.41064,1499999.9999170501,0.0,-0.6635741641027774,29999.99999502301,0.0,-877172568.7866354,ok
60.0,99999999976.11133,1799999.9998566627,0.0,-0.7962889969226685,29999.999992833134,0.0,-877172568.7866353,ok
70.0,99999999967.48486,2099999.9997723857,0.0,-0.9290038297421974,29999.999990245098,0.0,-877172568.7866354,ok
80.0,99999999957.53125,2399999.9996602377,0.0,-1.0617186625613035,29999.999987258903,0.0,-877172568.7866354,ok
90.0,99999999946.25049,2699999.9995162366,0.0,-1.1944334953799265,29999.99998387455,0.0,-877172568.7866355,ok
100.0,99999999933.64258,2999999.9993364015,0.0,-1.3271483281980059,29999.999980092038,0.0,-877172568.7866354,ok
110.0,99999999919.70752,3299999.9991167504,0.0,-1.4598631610154813,29999.999975911367,0.0,-877172568.7866356,ok
120.0,99999999904.44531,3599999.9988533016,0.0,-1.5925779938322926,29999.999971332538,0.0,-877172568.7866354,ok
130.0,99999999887.85596,3899999.998542074,0.0,-1.7252928266483791,29999.99996635555,0.0,-877172568.7866354,ok
140.0,99999999869.93945,4199999.998179086,0.0,-1.8580076594636805,29999.9999609804,0.0,-877172568.7866354,ok
150.0,99999999850.6958,4499999.997760355,0.0,-1.9907224922781364,29999.99995520709,0.0,-877172568.7866354,ok
160.0,99999999830.125,4799999.9972819,0.0,-2.1234373250916865,29999.999949035624,0.0,-877172568.7866354,ok
170.0,99999999808.22705,5099999.99673974,0.0,-2.2561521579042703,29999.999942465998,0.0,-877172568.7866356,ok
180.0,99999999785.00195,5399999.996129893,0.0,-2.3888669907158273,29999.999935498214,0.0,-877172568.7866356,ok
190.0,99999999760.4497,5699999.995448377,0.0,-2.5215818235262977,29999.99992813227,0.0,-877172568.7866355,ok
200.0,99999999734.57031,5999999.994691211,0.0,-2.6542966563356205,29999.999920368165,0.0,-877172568.7866356,ok
210.0,99999999707.36377,6299999.993854413,0.0,-2.7870114891437354,29999.9999122059,0.0,-877172568.7866356,ok
220.0,99999999678.83008,6599999.992934002,0.0,-2.919726321950582,29999.99990364548,0.0,-877172568.7866356,ok
230.0,99999999648.96924,6899999.991925996,0.0,-3.0524411547561003,29999.9998946869,0.0,-877172568.7866356,ok
240.0,99999999617.78125,7199999.990826413,0.0,-3.1851559875602296,29999.99988533016,0.0,-877172568.7866359,ok
250.0,99999999585.26611,7499999.989631272,0.0,-3.3178708203629093,29999.99987557526,0.0,-877172568.7866356,ok
260.0,99999999551.42383,7799999.988336591,0.0,-3.450585653164079,29999.9998654222,0.0,-877172568.7866356,ok
270.0,99999999516.2544,8099999.986938389,0.0,-3.583300485963679,29999.99985487098,0.0,-877172568.7866356,ok
280.0,99999999479.75781,8399999.985432684,0.0,-3.7160153187616483,29999.999843921603,0.0,-877172568.7866361,ok
290.0,99999999441.93408,8699999.983815495,0.0,-3.8487301515579264,29999.999832574067,0.0,-877172568.7866362,ok
300.0,99999999402.7832,8999999.982082838,0.0,-3.9814449843524535,29999.999820828372,0.0,-877172568.7866361,ok
310.0,99999999362.30518,9299999.980230734,0.0,-4.114159817145168,29999.99980868452,0.0,-877172568.786636,ok
320.0,99999999320.5,9599999.978255201,0.0,-4.246874649936012,29999.999796142507,0.0,-877172568.7866361,ok
330.0,99999999277.36768,9899999.976152258,0.0,-4.379589482724922,29999.999783202333,0.0,-877172568.7866361,ok
